Location1,Definition1,Identifier1,Location2,Definition2,Identifier2,Location3,Definition3,Identifier3,Location4,Definition4,Identifier4,Location5,Definition5,Identifier5,Location6,Definition6,Identifier6,Location7,Definition7,Identifier7,Location8,Definition8,Identifier8,Location9,Definition9,Identifier9,Location10,Definition10,Identifier10,Location11,Definition11,Identifier11,Location12,Definition12,Identifier12,Location13,Definition13,Identifier13,Location14,Definition14,Identifier14,Location15,Definition15,Identifier15,Location16,Definition16,Identifier16,Location17,Definition17,Identifier17,Location18,Definition18,Identifier18,Location19,Definition19,Identifier19,Location20,Definition20,Identifier20
sika,small deer of Japan with slightly forked antlers,japanese_deer.n.01,bloomer,an embarrassing mistake,goldNo,Qandahar,a city in southern Afghanistan; an important trading center,goldYes,whitetail,common North American deer; tail has a white underside,virginia_deer.n.01,blacktail,mule deer of western Rocky Mountains,black-tailed_deer.n.01,elk,large northern deer with enormous flattened antlers in the male; called `elk' in Europe and `moose' in North America,elk.n.01,roebuck,male roe deer,roebuck.n.01,caribou,Arctic deer with large antlers in both sexes; called `reindeer' in Eurasia and `caribou' in North America,caribou.n.01,Mazama,brockets,mazama.n.01,brocket,small South American deer with unbranched antlers,brocket.n.01,vicuna,small wild cud-chewing Andean animal similar to the guanaco but smaller; valued for its fleecy undercoat,vicuna.n.03,carcajou,stocky shaggy-coated North American carnivorous mammal,wolverine.n.03,pekan,large dark brown North American arboreal carnivorous mammal,fisher.n.02,Eira,a genus of Mustelidae,eira.n.01,unai,relatively small fast-moving sloth with two long claws on each front foot,two-toed_sloth.n.02,unai,a sloth of Central America that has two long claws on each forefoot and three long claws on each hindfoot,two-toed_sloth.n.01,simian,an ape or monkey,simian.n.01,ape,any of various primates with short tails or no tail at all,ape.n.01,man,any living or extinct member of the family Hominidae characterized by superior intelligence articulate speech and erect carriage,homo.n.02,man,all of the living human inhabitants of the earth,world.n.08
Pongo,type genus of the family Pongidae: orangutans,pongo.n.01,purchase,the acquisition of something for payment,goldNo,Albania,a republic in southeastern Europe on the Adriatic coast of the Balkan Peninsula,goldYes,tamarin,small South American marmoset with silky fur and long nonprehensile tail,tamarin.n.01,saki,small arboreal monkey of tropical South America with long hair and bushy nonprehensile tail,saki.n.03,indri,large short-tailed lemur of Madagascar having thick silky fur in black and white and fawn,indri.n.01,coon,North American raccoon,common_raccoon.n.01,parr,the young of various fishes,parr.n.03,pout,catfish common in eastern United States,horned_pout.n.01,whiting,a food fish of the Atlantic waters of Europe resembling the cod; sometimes placed in genus Gadus,whiting.n.06,Lota,burbot,lota.n.02,whiting,found off Atlantic coast of North America,silver_hake.n.01,Anguilla,type genus of the Anguillidae: eels,anguilla.n.02,moray,family of brightly colored voracious eels of warm coastal waters; generally nonaggressive to humans but larger species are dangerous if provoked,moray.n.01,britt,the young of a herring or sprat or similar fish,brit.n.02,allis,European shad,allice_shad.n.01,anchovy,small herring-like plankton-eating fishes often canned whole or as paste; abundant in tropical waters worldwide,anchovy.n.02,parr,a young salmon up to 2 years old,parr.n.02,Salmo,type genus of the Salmonidae: salmon and trout,salmo.n.01,chinook,large Pacific salmon valued as food; adults die after spawning,chinook.n.05
king salmon,large Pacific salmon valued as food; adults die after spawning,chinook.n.05,salmon trout,speckled trout of European rivers; introduced in North America,brown_trout.n.01,salmon trout,large fork-tailed trout of lakes of Canada and the northern United States,lake_trout.n.02,whitefish,silvery herring-like freshwater food fish of cold lakes of the northern hemisphere,whitefish.n.03,cisco,important food fish of cold deep lakes of North America,cisco.n.02,assumption,the act of taking possession of or power over something,goldNo,Tirana,the capital and largest city of Albania in the center of the country,goldYes,Albula,type and sole genus of the family Albulidae,albula.n.01,Argentina,type genus of the Argentinidae: argentines,argentina.n.02,argentine,any of various small silver-scaled salmon-like marine fishes,argentine.n.01,saratoga,a species of large fish found in Australian rivers,australian_arowana.n.01,lotte,fishes having large mouths with a wormlike filament attached for luring prey,goosefish.n.01,pickerel,any of several North American species of small pike,pickerel.n.02,rockfish,marine food and game fish with dark longitudinal stripes; migrates upriver to spawn; sometimes placed in the genus Morone,striped_bass.n.02,coney,black-spotted usually dusky-colored fish with reddish fins,coney.n.01,margate,a grunt with a red mouth that is found from Florida to Brazil,margate.n.01,croaker,any of several fishes that make a croaking noise,croaker.n.02,whiting,any of several food fishes of North American coastal waters,whiting.n.04,barbu,found along western Atlantic coast,barbu.n.01,pout,marine eellike mostly bottom-dwelling fishes of northern seas,eelpout.n.01
bonito,any of various scombroid fishes intermediate in size and characteristics between mackerels and tunas,bonito.n.03,bonito,fish whose flesh is dried and flaked for Japanese cookery; may be same species as skipjack tuna,bonito.n.02,spearfish,any of several large vigorous pelagic fishes resembling sailfishes but with first dorsal fin much reduced; worldwide but rare,spearfish.n.01,whiting,a small fish of the genus Sillago; excellent food fish,whiting.n.03,hausen,valuable source of caviar and isinglass; found in Black and Caspian seas,beluga.n.01,rockfish,marine food fish found among rocks along the northern coasts of Europe and America,rockfish.n.02,brill,European food fish,brill.n.01,aba,a fabric woven from goat hair and camel hair,aba.n.02,aba,a loose sleeveless outer garment made from aba cloth; worn by Arabs,aba.n.01,public square,a place of assembly for the people in ancient Greece,agora.n.03,drome,an airfield equipped with control tower and hangars as well as accommodations for passengers and cargo,airport.n.01,bay,a small recess opening off a larger room,alcove.n.01,Alhambra,a fortified Moorish palace built near Granada by Muslim kings in the Middle Ages,alhambra.n.01,altar,a raised structure on which gifts or sacrifices to a god are made,altar.n.02,altar,the table in Christian churches where communion is given,altar.n.01,Americana,any artifact (such as books or furniture or art) that is distinctive of America,americana.n.01,assumption,the act of assuming or taking for granted,goldNo,Algeria,a republic in northwestern Africa on the Mediterranean Sea with a population that is predominantly Sunni Muslim; colonized by France in the 19th century but gained autonomy in the early 1960s,goldYes,amphitheater,an oval large stadium with tiers of seats; an arena in which contests and spectacles are held,amphitheater.n.02,coliseum,an oval large stadium with tiers of seats; an arena in which contests and spectacles are held,amphitheater.n.02
amphitheater,a sloping gallery with seats for spectators (as in an operating room or theater),amphitheater.n.01,aneroid,a barometer that measures pressure without using fluids,aneroid_barometer.n.01,hall,a large entrance or reception room or area,anteroom.n.01,antique,any piece of furniture or decorative object or the like produced in a former period and valuable because of its beauty or rarity,antique.n.02,Antonine Wall,a fortification 37 miles long across the narrowest part of southern Scotland (between the Firth of Forth and the Firth of Clyde); built in 140 to mark the frontier of the Roman province of Britain,antonine_wall.n.01,conversion,a spiritual enlightenment causing a person to lead a new life,goldNo,Algiers,an ancient port on the Mediterranean; the capital and largest city of Algeria,goldYes,APC,a drug combination found in some over-the-counter headache remedies (aspirin and phenacetin and caffeine),apc.n.02,Appian Way,an ancient Roman road in Italy extending south from Rome to Brindisi; begun in 312 BC,appian_way.n.01,fitting,(usually plural) furnishings and equipment (especially for a ship or hotel),appointment.n.03,bower,a framework that supports climbing plants,arbor.n.03,archway,a passageway under a curved masonry construction,arch.n.03,arctic,a waterproof overshoe that protects shoes from water or snow,arctic.n.02,argyll,a sock knitted or woven with an argyle design (usually used in the plural),argyle.n.03,argyll,a design consisting of a pattern of varicolored diamonds on a solid background (originally for knitted articles); patterned after the tartan of a clan in western Scotland,argyle.n.02,argyll,a covered gravy holder of silver or other metal containing a detachable central vessel for hot water to keep the gravy warm,argyll.n.01,Ark of the Covenant,(Judaism) sacred chest where the ancient Hebrews kept the two tablets containing the Ten Commandments,ark.n.01,armilla,(archeology) a bracelet worn around the wrist or arm,armilla.n.02,armilla,a celestial globe consisting of metal hoops; used by early astronomers to determine the positions of stars,armillary_sphere.n.01,APC,(military) an armored vehicle (usually equipped with caterpillar treads) that is used to transport infantry,armored_personnel_carrier.n.01
arsenal,a place where arms are manufactured,armory.n.04,arrowhead,the pointed head or striking tip of an arrow,arrowhead.n.01,arsenal,a military structure where arms and ammunition and other military equipment are stored and training is given in the use of arms,arsenal.n.02,arsenal,all the weapons and equipment that a country has,arsenal.n.01,ascot,a cravat with wide square ends; secured with an ornamental pin,ascot.n.01,assembly hall,a hall where many people can congregate,assembly_hall.n.01,horn,a device on an automobile for making a warning noise,automobile_horn.n.01,volary,a building where birds are kept,aviary.n.01,back,a support that you can lean against while sitting,back.n.08,back,the part of a garment that covers the back of your body,back.n.07,bag,a flexible container with a single opening,bag.n.01,bag,a portable rectangular container for carrying clothes,bag.n.06,bag,a container used for carrying money and small personal items or accessories (especially by women),bag.n.04,bailey,the outer defensive wall that surrounds the outer courtyard of a castle,bailey.n.04,bailey,the outer courtyard of a castle,bailey.n.03,lure,something used to lure fish or other animals into danger so they can be trapped or killed,bait.n.02,balbriggan,a cotton knit fabric used for underwear,balbriggan.n.01,bale,a large bundle bound for storage or transport,bale.n.01,magic,an illusory feat; considered magical by naive observers,goldNo,Batna,a town in north central Algeria,goldYes
balsam,an ointment containing a fragrant resin,balsam.n.03,band,a thin flat strip of flexible material that is worn around the body or one of the limbs (especially to decorate the body),band.n.07,band,an adornment consisting of a strip of a contrasting color or material,band.n.04,band,a restraint put around something to hold it together,band.n.13,band,a strip of material attached to the leg of a bird to identify it (as in studies of bird migration),band.n.12,band,a thin flat strip or loop of flexible material that goes around or over something else typically to hold it together or as a decoration,band.n.11,band,a driving belt in machinery,band.n.10,bandanna,large and brightly colored handkerchief; often used as a neckerchief,bandanna.n.01,banderilla,a decorated dart that is implanted in the neck or shoulders of the bull during a bull fight,banderilla.n.01,bank building,a building in which the business of banking transacted,bank.n.09,bannister,a railing at the side of a staircase or balcony to prevent people from falling,bannister.n.02,baptistry,bowl for baptismal water,baptismal_font.n.01,font,bowl for baptismal water,baptismal_font.n.01,bender,a pitch of a baseball that is thrown with spin so that its path curves as it approaches the batter,goldNo,Blida,a city in northern Algeria at the foot of the Atlas Mountains to the southwest of Algiers,goldYes,bar,a rigid piece of metal or wood; usually used as a fastening or obstruction or weapon,bar.n.03,bar,an obstruction (usually metal) placed at the top of a goal,bar.n.05,bar,a counter where you can obtain food or drink,bar.n.02,bar,(law) a railing that encloses the part of the courtroom where the judges and lawyers sit and the case is tried,bar.n.15,bar,a heating element in an electric fire,bar.n.14
bar,a horizontal rod that serves as a support for gymnasts as they perform exercises,bar.n.13,hoy,a flatbottom boat for carrying heavy loads (especially on canals),barge.n.01,bargello,needlepoint embroidery stitch that produces zigzag lines,bargello.n.01,barong,a knife resembling a cleaver; used in the Philippines,barong.n.01,bar,a room or establishment where alcoholic drinks are served over a counter,barroom.n.01,barrow,a cart for carrying small loads; has handles and one or more wheels,barrow.n.03,bag,a place that the runner must touch before scoring,base.n.03,raise,the act of raising something,goldNo,Oran,a port city in northwestern Algeria and the country's 2nd largest city,goldYes,tuba,the lowest brass wind instrument,bass_horn.n.01,bastille,a jail or prison (especially one that is run in a tyrannical manner),bastille.n.02,Bastille,a fortress built in Paris in the 14th century and used as a prison in the 17th and 18th centuries; it was destroyed July 14 1789 at the start of the French Revolution,bastille.n.01,bath,a vessel containing liquid in which something is immersed (as to process it or to maintain it at a constant temperature or to lubricate it),bath.n.01,bath,a room (as in a residence) containing a bathtub or shower and usually a washbasin and toilet,bathroom.n.01,bath,a relatively large open container that you fill with water and use to wash the body,bathtub.n.01,bay,a compartment in an aircraft used for some specific purpose,bay.n.05,bay,a compartment on a ship between decks; often used as a hospital,bay.n.04,Bayonne Bridge,a steel arch bridge connecting New Jersey and Staten Island at Bayonne New Jersey,bayonne_bridge.n.01,beacon,a tower with a light that gives warning of shoals to passing ships,beacon.n.03,stein,a mug intended for serving beer,beer_mug.n.01
belfry,a room (often at the top of a tower) where bells are hung,belfry.n.02,bell,a hollow device made of metal that makes a ringing sound when struck,bell.n.01,bell,the flared opening of a tubular device,bell.n.10,Belmont Park,a racetrack for thoroughbred racing in Elmont on Long Island; site of the Belmont Stakes,belmont_park.n.01,Belmont,a racetrack for thoroughbred racing in Elmont on Long Island; site of the Belmont Stakes,belmont_park.n.01,belvedere,a gazebo sited to command a fine view,belvedere.n.02,ringway,a highway that encircles an urban area so that traffic does not have to pass through the center,beltway.n.01,bend,curved segment (of a road or river or railroad track etc.),bend.n.03,bend,diagonal line traversing a shield from the upper right corner to the lower left,bend.n.06,bender,a tool for bending,bender.n.01,Benjamin Franklin Bridge,a suspension bridge across the Delaware River,benjamin_franklin_bridge.n.01,berlin,a limousine with a glass partition between the front and back seats,berlin.n.03,bethel,a house of worship (especially one for sailors),bethel.n.01,spring,a light self-propelled movement upwards or forwards,goldNo,Djanet,a desert town in southeastern Algeria,goldYes,biggin,a child's tight-fitting cap; often ties under the chin,biggin.n.01,back,the protective covering on the front back and spine of a book,binding.n.05,Blarney Stone,a stone in a castle in Ireland that is said to impart skill in flattery to anyone who kisses it,blarney_stone.n.01,flasher,a light that flashes on and off; used as a signal or to send messages,blinker.n.01,blocker,a class of drugs that inhibit (block) some biological process,blocker.n.02
leghorn,a stiff hat made of straw with a flat crown,boater.n.01,wheeling,propelling something on wheels,goldNo,Reggane,a town in central Algeria,goldYes,Panama,a stiff hat made of straw with a flat crown,boater.n.01,cork,a small float usually made of cork; attached to a fishing line,bob.n.05,bodega,a small Hispanic shop selling wine and groceries,bodega.n.01,bogy,an unidentified (and possibly enemy) aircraft,bogy.n.01,bola,a rope with weights attached to the ends; is thrown to entangle the legs of an animal; of South American origin,bola.n.02,bolo,long heavy knife with a single edge; of Philippine origin,bolo.n.02,bolo,a cord fastened around the neck with an ornamental clasp and worn as a necktie,bolo_tie.n.01,bola,a cord fastened around the neck with an ornamental clasp and worn as a necktie,bolo_tie.n.01,boom,any of various more-or-less horizontal spars or poles used to extend the foot of a sail or for handling cargo or in mooring,boom.n.05,boom,a pole carrying an overhead microphone projected over a film or tv set,boom.n.04,boot,footwear that covers the whole foot and lower leg,boot.n.01,boot,British term for the luggage compartment in a car,boot.n.02,boot,an instrument of torture that is used to heat or crush the foot and leg,boot.n.05,boot,protective casing for something that resembles a leg,boot.n.04,booth,small area set off by walls for special use,booth.n.02,booth,a small shop at a fair; for selling goods or entertainment,booth.n.04,booth,a table (in a restaurant or bar) surrounded by two high-backed benches,booth.n.01
bootjack,has V-shaped notch for pulling off boots,bootjack.n.01,bota,a wine bottle made of leather,bota.n.01,buhl,an inlaid furniture decoration; tortoiseshell and yellow and white metal form scrolls in cabinetwork,boulle.n.01,derby,a felt hat that is round and hard with a narrow brim,bowler_hat.n.01,bowstring,the string of an archer's bow,bowstring.n.01,box spring,a coiled bedspring in a frame that is covered with cloth,box_spring.n.01,brad,a small nail,brad.n.01,brake,a restraint used to slow or stop a vehicle,brake.n.01,brake,anything that slows or hinders a process,brake.n.05,spur,a railway line connected to a trunk line,branch_line.n.01,bra,an undergarment worn by women to support their breasts,brassiere.n.01,briar,a pipe made from the root (briarroot) of the tree heath,briar.n.04,brigantine,two-masted sailing vessel square-rigged on the foremast and fore-and-aft rigged on the mainmast,brigantine.n.01,Brooklyn Bridge,a suspension bridge across the East River in New York City; opened in 1883,brooklyn_bridge.n.01,brougham,a sedan that has no roof over the driver's seat,brougham.n.02,brougham,light carriage; pulled by a single horse,brougham.n.01,BAR,a portable .30 caliber automatic rifle operated by gas pressure and fed by cartridges from a magazine; used by United States troops in World War I and in World War II and in the Korean War,browning_automatic_rifle.n.01,Brown University,a university in Rhode Island,brown_university.n.01,rolling,propelling something on wheels,goldNo,Timgad,an ancient town founded by the Romans; noted for extensive and well-preserved ruins,goldYes
bullion,gold or silver in bars or ingots,bullion.n.02,cottage,a small house with a single story,bungalow.n.01,etna,a gas burner used in laboratories; has an air valve to regulate the mixture of gas and air,bunsen_burner.n.01,barrow,(archeology) a heap of earth placed over prehistoric tombs,burial_mound.n.01,cabana,a small tent used as a dressing room beside the sea or a swimming pool,cabana.n.01,pleasure boat,a large motorboat that has a cabin and plumbing and other conveniences necessary for living on board,cabin_cruiser.n.01,hit,the act of contacting one thing with another,goldNo,Timimoun,a town in central Algeria in the Atlas Mountains,goldYes,line,a conductor for transmitting electrical or optical signals or electric power,cable.n.02,cafe,a small restaurant where drinks and snacks are sold,cafe.n.01,bar,a block of solid substance (such as soap or wax),cake.n.01,Caledonian Canal,a canal in northern Scotland that links North Sea with the Atlantic Ocean; runs diagonally between Moray Firth at the northeastern end and Loch Linnhe at the southwestern end; now little used,caledonian_canal.n.01,calumet,a highly decorated ceremonial pipe of Amerindians; smoked on ceremonial occasions (especially as a token of peace),calumet.n.01,Cambridge,a university in England,cambridge_university.n.01,belfry,a bell tower; usually stands alone unattached to a building,campanile.n.01,can,airtight sealed metal container for food or drink or paint etc.,can.n.01,narrow boat,a long boat that carries freight and is narrow enough to be used in canals,canal_boat.n.01,cane,a stiff switch used to hit students as punishment,cane.n.03,cane,a stick that people can lean on to help them walk,cane.n.01,ganja,the most commonly used illicit drug; considered a soft drug it consists of the dried leaves of the hemp plant; smoked or chewed for euphoric effect,cannabis.n.02
cannon ball,a solid projectile that in former times was fired from a cannon,cannonball.n.01,cardigan,knitted jacket that is fastened up the front with buttons or a zipper,cardigan.n.01,Carnegie Mellon University,an engineering university in Pittsburgh,carnegie_mellon_university.n.01,cashmere,a soft fabric made from the wool of the Cashmere goat,cashmere.n.01,casino,a public building for gambling and entertainment,casino.n.01,catchall,an enclosure or receptacle for odds and ends,catchall.n.01,ward,a division of a prison (usually consisting of several cells),cellblock.n.01,cenotaph,a monument built to honor people whose remains are interred elsewhere or whose remains cannot be recovered,cenotaph.n.01,centre,a building dedicated to a particular activity,center.n.03,central,a workplace that serves as a telecommunications facility where lines from telephones can be connected together to permit communication,central.n.01,exchange,a workplace that serves as a telecommunications facility where lines from telephones can be connected together to permit communication,central.n.01,strand,a necklace made by a stringing objects together; ,chain.n.10,shay,a carriage consisting of two wheels and a calash top; drawn by a single horse,chaise.n.02,challis,a soft lightweight fabric (usually printed),challis.n.01,chambray,a lightweight fabric woven with white threads across a colored warp,chambray.n.01,bema,area around the altar of a church for the clergy and choir; often enclosed by a lattice or railing,chancel.n.01,chap,(usually in the plural) leather leggings without a seat; joined by a belt; often have flared outer flaps; worn over trousers by cowboys to protect their legs,chap.n.04,charterhouse,a Carthusian monastery,charterhouse.n.01,best,the supreme effort one can make,goldNo,Angola,a republic in southwestern Africa on the Atlantic Ocean; achieved independence from Portugal in 1975 and was the scene of civil war until 1990,goldYes
chase,a rectangular metal frame used in letterpress printing to hold together the pages or columns of composed type that are printed at one time,chase.n.03,chesterfield,a fitted overcoat with a velvet collar,chesterfield.n.03,chesterfield,an overstuffed davenport with upright armrests,chesterfield.n.02,dresser,furniture with drawers for keeping clothes,chest_of_drawers.n.01,bell,a percussion instrument consisting of a set of tuned bells that are struck with a hammer; used as an orchestral instrument,chime.n.01,chimney corner,a corner by a fireplace,chimney_corner.n.01,inglenook,a corner by a fireplace,chimney_corner.n.01,china,high quality porcelain originally made only in China,china.n.02,china,dishware made of high quality porcelain,chinaware.n.01,Great Wall of China,a fortification 1500 miles long built across northern China in the 3rd century BC; it averages 6 meters in width,chinese_wall.n.01,chino,a coarse twilled cotton fabric frequently used for uniforms,chino.n.02,chino,trousers made with chino cloth,chino.n.01,Channel Tunnel,the railroad tunnel between France and England under the English Channel,chunnel.n.01,church building,a place for public (especially Christian) worship,church.n.02,Churchill Downs,a racetrack for thoroughbred racing in Louisville; site of the Kentucky Derby,churchill_downs.n.01,picture palace,a theater where films are shown,cinema.n.02,round top,a canvas tent to house the audience at a circus performance,circus_tent.n.01,clack,a simple valve with a hinge on one side; allows fluid to flow in only one direction,clack_valve.n.01,flora,(botany) a living organism lacking the power of locomotion,goldNo,Namibia,a republic in southwestern Africa on the south Atlantic coast (formerly called South West Africa); achieved independence from South Africa in 1990; the greater part of Namibia forms part of the high Namibian plateau of South Africa,goldYes
clinch,a device (generally used by carpenters) that holds things firmly together,clamp.n.01,clapper,metal striker that hangs inside a bell and makes a sound by hitting the side,clapper.n.03,clarence,a closed carriage with four wheels and seats for four passengers,clarence.n.01,clarion,a medieval brass instrument with a clear shrill tone,clarion.n.01,clavier,a stringed instrument that has a keyboard,clavier.n.02,clinch,the flattened part of a nail or bolt or rivet,clinch.n.03,clinch,a small slip noose made with seizing,clinch.n.02,patten,footwear usually with wooden soles,clog.n.01,cloverleaf,an interchange that does not require left-hand turns,cloverleaf.n.01,CN Tower,a tower in Toronto; 1815 feet tall for broadcasting widely,cn_tower.n.01,coal mine,a mine where coal is dug from the ground,coal_mine.n.01,coffeepot,tall pot in which coffee is brewed,coffeepot.n.01,hit,(baseball) a successful stroke in an athletic contest (especially in baseball),goldNo,South West Africa,a republic in southwestern Africa on the south Atlantic coast (formerly called South West Africa); achieved independence from South Africa in 1990; the greater part of Namibia forms part of the high Namibian plateau of South Africa,goldYes,college,a complex of buildings in which an institution of higher education is housed,college.n.03,cologne,a perfumed liquid made of essential oils and alcohol,cologne.n.02,Colosseum,a large amphitheater in Rome whose construction was begun by Vespasian about AD 75 or 80,colosseum.n.01,Colossus of Rhodes,a huge bronze statue of the sun god Helios that was built around 285 BC and that stood beside the harbor entrance on the island of Rhodes for about 50 years before it was toppled by an earthquake,colossus_of_rhodes.n.01,coulter,a sharp steel wedge that precedes the plow and cuts vertically through the soil,colter.n.01,Columbia,a university in New York City,columbia_university.n.01
comber,a machine that separates and straightens the fibers of cotton or wool,comber.n.03,community center,a center where the members of a community can gather for social or cultural activities,community_center.n.01,conference house,a center where conferences can be conducted,conference_center.n.01,tank,a cell for violent prisoners,cooler.n.03,cooling,a mechanism for keeping something cool,cooling_system.n.02,Cooper Union,university founded in 1859 by Peter Cooper to offer free courses in the arts and sciences,cooper_union.n.01,copper mine,a mine where copper is dug from the ground,copper_mine.n.01,coquille,a dish in the form of a scallop shell,coquille.n.02,cordage,the ropes in the rigging of a ship,cordage.n.02,cordon,adornment consisting of an ornamental ribbon or cord,cordon.n.03,cork,the plug in the mouth of a bottle (especially a wine bottle),cork.n.04,horn,a brass musical instrument with a brilliant tone; has a narrow tube and a flared bell and is played by means of valves,cornet.n.01,corona,a long cigar with blunt ends,corona.n.06,cotter,fastener consisting of a wedge or pin inserted through a slot to hold two other pieces together,cotter.n.03,covered bridge,a bridge whose passageway is protected by a roof and enclosing sides,covered_bridge.n.01,Conestoga,a large wagon with broad wheels and an arched canvas top; used by the United States pioneers to cross the prairies in the 19th century,covered_wagon.n.01,anchorage,the act of anchoring,goldNo,Windhoek,capital of Namibia in the center of the country,goldYes,corral,a pen for cattle,cow_pen.n.01,foundling hospital,a hospital where foundlings (infant children of unknown parents) are taken in and cared for,creche.n.01
creel,a wicker basket used by anglers to hold fish,creel.n.01,crook,a long staff with one end being hook shaped,crook.n.03,crown jewel,a precious stone that is a valuable part of a sovereign's regalia,crown_jewel.n.02,cruse,small jar; holds liquid (oil or water),cruse.n.01,docking,the act of securing an arriving vessel with ropes,goldNo,Herat,a city in northwestern Afghanistan on the site of several ancient cities,goldYes,crystal,a protective cover that protects the face of a watch,crystal.n.06,crystal,glassware made of quartz,crystal.n.05,crystal,a crystalline element used as a component in various electronic devices,crystal.n.02,cue,sports implement consisting of a tapering rod used to strike a cue ball in pool or billiards,cue.n.04,curio,something unusual -- perhaps worthy of collecting,curio.n.01,Dachau,a concentration camp for Jews created by the Nazis near Munich in southern Germany,dachau.n.01,ambo,a platform raised above the surrounding level to give prominence to the person on it,dais.n.01,Dartmouth College,a college in New Hampshire,dartmouth_college.n.01,Dartmouth,a college in New Hampshire,dartmouth_college.n.01,davenport,a large sofa usually convertible into a bed,davenport.n.03,davenport,a small decorative writing desk,davenport.n.02,decker,(often used in combinations) something constructed with multiple levels,decker.n.02,deer trail,a trail worn by the passage of deer,deer_trail.n.01,delft,a style of glazed earthenware; usually white with blue decoration,delft.n.01
floss,a soft thread for cleaning the spaces between the teeth,dental_floss.n.01,emporium,a large retail store organized into departments offering a variety of merchandise; commonly part of a retail chain,department_store.n.01,deposit,a facility where things can be deposited for storage or safekeeping,depository.n.01,Dewar,vacuum flask that holds liquid air or helium for scientific experiments,dewar_flask.n.01,diamond point,a very hard small point made from a diamond,diamond_point.n.01,diamante,fabric covered with glittering ornaments such as sequins or rhinestones,diamante.n.02,dibble,a wooden hand tool with a pointed end; used to make holes in the ground for planting seeds or bulbs,dibble.n.01,clinch,(boxing) the act of one boxer holding onto the other to avoid being hit and to rest momentarily,goldNo,Jalalabad,a town in eastern Afghanistan (east of Kabul),goldYes,dickey,a man's detachable insert (usually starched) to simulate the front of a shirt,dickey.n.02,dickey,a small third seat in the back of an old-fashioned two-seater,dickey.n.01,dish,a piece of dishware normally used as a container for holding or serving food,dish.n.01,dish,directional antenna consisting of a parabolic reflector for microwave or radio frequency radiation,dish.n.05,dogtooth,a carved pyramidal ornament; used in 13th century England,dogtooth.n.03,bell,a push button at an outer door that gives a ringing or buzzing signal when pushed,doorbell.n.01,doorway,the entrance (the space in a wall) through which you enter or leave a room or building; the space that a door can close,doorway.n.01,hall,a college or university building containing living quarters for students,dormitory.n.01,drain,a pipe through which liquid is carried away,drain.n.03,drain,tube inserted into a body cavity (as during surgery) to remove unwanted material,drain.n.02,lot,anything (straws or pebbles etc.) taken or chosen at random,draw.n.04
dresser,a cabinet with shelves,dresser.n.05,dresser,low table with mirror or mirrors where one sits while dressing or applying makeup,dressing_table.n.01,sander,a power tool used for sanding wood; an endless loop of sandpaper is moved at high speed by an electric motor,drum_sander.n.01,drydock,a large dock from which water can be pumped out; used for building ships or for repairing a ship below its waterline,dry_dock.n.01,duffel,a coarse heavy woolen fabric,duffel.n.02,duffel,a large cylindrical bag of heavy cloth; for carrying personal belongings,duffel_bag.n.01,Duke University,a university in Durham North Carolina,duke_university.n.01,smock,a loose coverall (coat or frock) reaching down to the ankles,duster.n.02,Eiffel Tower,a wrought iron tower 300 meters high that was constructed in Paris in 1889; for many years it was the tallest man-made structure,eiffel_tower.n.01,ell,an extension at the end and at right angles to the main building,ell.n.01,Empire State Building,a skyscraper built in New York City in 1931; 1250 feet tall,empire_state_building.n.01,exchange,a workplace for buying and selling; open only to members,exchange.n.06,fabric,artifact made by weaving or felting or knitting or crocheting natural or synthetic fibers,fabric.n.01,farmstead,a farm together with its buildings,farmplace.n.01,holdfast,restraint that attaches to something or holds something in place,fastener.n.02,homburg,a hat made of felt with a creased crown,fedora.n.01,fez,a felt cap (usually red) for a man; shaped like a flat-topped cone with a tassel that hangs from the crown,fez.n.02,FET,a transistor in which most current flows in a channel whose effective resistance can be controlled by a transverse electric field,field-effect_transistor.n.01,lam,a rapid escape (as by criminals),goldNo,Kabul,the capital and largest city of Afghanistan; located in eastern Afghanistan,goldYes
hit,a conspicuous success,goldNo,Kandahar,a city in southern Afghanistan; an important trading center,goldYes,fife,a small high-pitched flute similar to a piccolo; has a shrill tone and is used chiefly to accompany drums in a marching band,fife.n.01,filet,lace having a square mesh,filet.n.03,fishhook,a sharp barbed hook for catching fish,fishhook.n.01,fitting,a small and often standardized accessory to a larger system,fitting.n.02,flagstaff,a tall staff or pole on which a flag is raised,flagpole.n.02,flambeau,a flaming torch (such as are used in processions at night),flambeau.n.01,tweed,(usually in the plural) trousers made of flannel or gabardine or tweed or white cloth,flannel.n.03,flasher,an electrical device that automatically turns a lamp on and off (as for an advertising display),flasher.n.02,flatiron,an iron that was heated by placing it on a stove,flatiron.n.01,floss,a soft loosely twisted thread used in embroidery,floss.n.01,fort,a fortified defensive structure,fortress.n.01,fountain,a plumbing fixture that provides a flow of water,fountain.n.04,fountain,an artificially produced flow of water,fountain.n.03,fountain,a structure from which an artificially produced jet of water arises,fountain.n.01,horn,a brass musical instrument consisting of a conical tube that is coiled into a spiral and played by means of valves,french_horn.n.01,saddleback,a double sloping roof with a ridge and gables at each end,gable_roof.n.01,gang,tool consisting of a combination of implements arranged to work together,gang.n.04,gap,a narrow opening,gap.n.03
